sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9563164214388757
6.9,3.1,5.1,2.3,virginica,0.9654368148854829
5.1,2.5,3.0,1.1,versicolor,0.9439701919893924
4.4,2.9,,0.2,setosa,0.6528618379537175
5.9,3.0,5.1,1.8,virginica,0.7805738011509601
5.5,3.5,1.3,0.2,setosa,0.9628197036928645
5.6,,3.6,1.3,versicolor,0.9335621372997165
6.5,3.0,5.2,2.0,virginica,0.9480783309584212
5.3,3.7,1.5,0.2,setosa,0.9669223802463333
5.1,3.4,1.5,,setosa,0.8256429481105644
6.1,2.8,4.0,1.3,versicolor,0.9743054170131592
5.5,2.4,3.7,1.0,versicolor,0.9748485740654843
7.7,3.0,6.1,2.3,virginica,0.9602201552684421
6.9,3.1,4.9,1.5,versicolor,0.7068538989740567
6.0,2.2,5.0,1.5,versicolor,0.5487474802586598
